,time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,TRG
0,0.080078125,3561.0,3554.776123046875,9828.599609375,-7239.65869140625,-9823.80078125,-5081.83447265625,-9809.400390625,4692.62255859375,11635.626953125,-9299.150390625,-8625.7255859375,-4594.2216796875,8529.537109375,9825.8994140625,9819.900390625,8248.6142578125,-5.699999809265137,-17.700000762939453,-9816.6005859375,-9825.6005859375,-16.799999237060547,-9837.0,9806.7001953125,9816.900390625,0.0
0,0.083251953125,5675.7001953125,6576.3056640625,9659.1259765625,2715.995849609375,164.28961181640625,3123.614013671875,-9510.6396484375,7841.2919921875,7217.0341796875,-9818.1005859375,-1598.809814453125,-3290.804931640625,-1267.2679443359375,2901.559814453125,7604.90087890625,6418.09228515625,-5.400000095367432,-17.700000762939453,1176.4461669921875,-4906.5029296875,-17.700000762939453,-8354.3056640625,6369.10302734375,5255.53369140625,0.0
0,0.086669921875,2897.10009765625,3512.164306640625,-2235.858642578125,9819.599609375,9823.5,7275.833984375,-9806.7060546875,2209.067626953125,-6775.17529296875,3463.361083984375,9814.2001953125,5861.9248046875,-6163.5712890625,-6383.67138671875,-4254.6806640625,-2350.26611328125,-5.699999809265137,-17.700000762939453,9816.2998046875,9680.7705078125,-17.399999618530273,7053.232421875,-8230.6611328125,-6202.56005859375,0.0
0,0.090087890625,-1126.800048828125,-1424.791259765625,-9828.900390625,6586.357421875,8558.0498046875,1734.1412353515625,-9809.400390625,-3442.912841796875,-9352.6875,9817.7998046875,8233.361328125,6713.66259765625,85.48434448242188,-3071.886962890625,-6126.83642578125,-4432.548828125,-5.699999809265137,-17.399999618530273,4104.82958984375,9825.2998046875,-17.700000762939453,9836.69921875,-8680.189453125,-5046.115234375,0.0
0,0.09326171875,-1059.300048828125,-1735.076416015625,-1509.36962890625,-3759.480224609375,-4517.96484375,-5519.79443359375,-9598.3525390625,-2887.353271484375,-736.4320678710938,5980.20849609375,304.3070068359375,3246.6875,8875.6748046875,5903.87646484375,1755.5765380859375,53.17616271972656,-5.699999809265137,-17.399999618530273,-9264.1767578125,-1970.03759765625,-17.399999618530273,-474.3182373046875,2144.6826171875,3610.7451171875,0.0
0,0.0966796875,2391.300048828125,2154.29150390625,9310.279296875,-8566.939453125,-9823.80078125,-4841.2568359375,-9809.400390625,3805.4033203125,10089.119140625,-9280.2744140625,-9292.146484375,-4833.4169921875,7721.48583984375,9562.912109375,9819.900390625,7478.611328125,-6.0,-17.399999618530273,-9816.6005859375,-9825.6005859375,-17.399999618530273,-9837.0,9806.7001953125,9816.900390625,0.0
0,0.10009765625,4654.5,5456.39794921875,9546.3427734375,1420.481201171875,-678.7440185546875,3188.10791015625,-9528.0029296875,6983.1083984375,6186.029296875,-9818.1005859375,-2449.13232421875,-3718.474609375,-2415.45751953125,1673.584716796875,6612.93115234375,5744.2275390625,-6.0,-17.399999618530273,391.2499694824219,-4916.998046875,-17.700000762939453,-8329.388671875,6040.48681640625,4510.73486328125,0.0
0,0.103271484375,2019.5999755859375,2541.397705078125,-3301.59619140625,9819.599609375,9823.5,7285.73291015625,-9809.400390625,1443.3773193359375,-7658.8935546875,3460.66455078125,9814.2001953125,5544.39892578125,-7091.60107421875,-7328.267578125,-5311.38330078125,-2955.032470703125,-5.699999809265137,-17.399999618530273,9816.2998046875,9642.689453125,-17.399999618530273,7076.9482421875,-8322.2421875,-6809.54443359375,0.0
0,0.106689453125,-2100.0,-2492.184326171875,-9828.900390625,5570.44384765625,8141.63037109375,1532.859619140625,-9513.6328125,-4324.74365234375,-10383.69140625,9817.7998046875,7691.5390625,6131.1318359375,-949.6260986328125,-4158.92236328125,-7230.88916015625,-5163.19482421875,-5.699999809265137,-17.100000381469727,3373.857177734375,9825.2998046875,-17.100000381469727,9836.69921875,-9008.5048828125,-5832.857421875,0.0
0,0.10986328125,-1777.199951171875,-2498.7861328125,-2407.732666015625,-4598.5830078125,-5166.72900390625,-5687.1796875,-9809.400390625,-3428.84423828125,-1546.50732421875,5947.8486328125,-265.66961669921875,2901.550537109375,8342.373046875,5155.99658203125,956.3067016601562,-499.916015625,-6.0,-17.100000381469727,-9402.880859375,-2140.0546875,-17.399999618530273,-452.7037353515625,1684.9794921875,3025.33203125,0.0
0,0.11328125,1529.4000244140625,1354.2718505859375,9059.517578125,-9403.9443359375,-9823.80078125,-4925.548828125,-9809.400390625,3233.380859375,9352.6875,-9292.8583984375,-9513.1875,-5146.14111328125,7215.1787109375,9197.0693359375,9706.6181640625,6945.9482421875,-5.099999904632568,-17.100000381469727,-9816.6005859375,-9825.6005859375,-17.399999618530273,-9837.0,9806.7001953125,9816.900390625,0.0
0,0.11669921875,3806.699951171875,4462.52490234375,9000.126953125,293.68597412109375,-1269.0474853515625,3041.121337890625,-6674.810546875,6338.94677734375,5007.73779296875,-9818.1005859375,-2640.522216796875,-3522.4970703125,-3340.188232421875,483.093505859375,5578.70556640625,5056.5419921875,-5.400000095367432,-17.399999618530273,560.5120239257812,-4949.3818359375,-17.700000762939453,-8320.6826171875,5429.64453125,3642.202880859375,0.0
0,0.119873046875,-1733.4000244140625,-1576.3328857421875,-6797.8623046875,7426.35888671875,9823.5,6734.38330078125,9809.1005859375,-1594.240478515625,-13255.77734375,3445.083984375,7429.4638671875,3220.277099609375,-9828.6005859375,-9826.2001953125,-8483.2880859375,-5932.8974609375,-6.0,-17.399999618530273,9816.2998046875,9601.609375,-17.399999618530273,7092.85888671875,-9157.8486328125,-9187.1474609375,0.0
